No;Nama Produk;Kategori;Nama Toko;Nama Toko Lower;Deskripsi Toko;Harga;Pengiriman dari;Deskripsi Produk;Terjual;Rating;Sedikit Testimoni;Pemberi Testimoni
1;Laptop Asus ROG Strix G512LI-I75TB6T i7-10750H/GTX1650Ti_V4G/8GB/512GB PCIe/Slim FHD IPS 144Hz/RGB/WIN/2Y/BAG/Black;Komputer;Asus Official Shop;laptop asus;Asus Official Shop adalah toko resmi dari Asus Indonesia di platform Shopee dengan jaminan produk resmi dan bergaransi PT Asus Indonesia. Belanja online produk-produk ASUS semakin aman dan terjamin di Shopee.;17067000;Kota Jakarta Utara; ROG STRIX G512LI dengan Prosesor i7-10750H,Graphics GTX-1650ti 4 GB,Memory 16 GB DDR4,Storage 512 Gb PCIE G3 SSD,Display 15inch FHD IPS 144 hz 100% RGB,OS WINDOWS 10 64 Bit,dan lampu RGB dibagian bawah Casing.;9;5;Barang tiba dengan selamat..makasih seller..uda dites,laptop jadi..barang tiba dgn tersegel.;hanymargentampemawa
2;"Laptop Asus M409DA-EK302T 14"", R3-3200U/UMA/4GB/1TB/FHD/Transparent Silver";Komputer;Asus Official Shop;laptop asus;Asus Official Shop adalah toko resmi dari Asus Indonesia di platform Shopee dengan jaminan produk resmi dan bergaransi PT Asus Indonesia. Belanja online produk-produk ASUS semakin aman dan terjamin di Shopee.;6099000;Kota Jakarta Utara;Asus M409DA-EK302T dengan AMD RYZEN 3-3200U,RAM 4GB,HDD 1TB,VGA AMD RADEON VEGA 3,Screen 14" FHD,Windows 10 Home,Gratis Tas Laptop ASUS.;39;5;Barang datang dengan packing yg sangat aman, pengemasan juga cepat. Baru dicoba sebentar sesekali masih lemot2 gitu. Overall bagus hanya saja jasa kurir jne sangat tidak disarankan karena lama sekali, 10 hari lebih barang mengendap di jkt;v*****v
3;"Laptop Lenovo IdeaPad Gaming 3 59ID Ryzen 7 4800H 16GB GTX1650Ti NVIDIA 512GB SSD 15"" FHD WVA 120Hz Win10 OHS";Komputer;Lenovo Computer Official;laptop lenovo;Lenovo Computer Official adalah akun resmi dari Lenovo Indonesia di platform Shopee. Buka: Senin-Jumat 10-17, Sabtu 10-16.;15499000;Kota Jakarta Pusat;Laptop Lenovo IdeaPad Gaming 3 59ID dengan AMD Ryzen™ 7 4800H,16GB DDR4 3200MHz,512GB PCIe® NVMe™ M.2 SSD,NVIDIA® GeForce® GTX 1650 Ti 4GB GDDR6,Windows 10 Home 64 Bit + Microsoft Office Home Student 2019,15.6" FHD (1920x1080) IPS 250nits Anti-glare, 120HzGaransi Resmi 2 Tahun Lenovo Indonesia + ADP/Bonus Backpack + Lenovo Legion M200 Mouse.;2;5;-;seyaryu
4;"Komputer PC AIO A340 22IWL + OHS (i3 10110U Win10 Home 4GB 1TB HDD 21.5"" FHD WVA Intel DVD HBID HCID)";Komputer;Lenovo Computer Official;laptop lenovo;Lenovo Computer Official adalah akun resmi dari Lenovo Indonesia di platform Shopee. Buka: Senin-Jumat 10-17, Sabtu 10-16.;7299000;Kota Jakarta Pusat;AIO A340 - 22IWL dengan Intel®Core™ i3-10110U Processor (4M Cache, up to 4.10 GHz), Integrated HD Graphics, 4GB DDR4 2666, 1TB 5400 RPM, SLIM DVDRW Rambo Tray-in, Ethernet 10/100/1000, 720P True Block Privacy Shutter Camera,2*USB2.0+ 1*USB3.1 Gen2 (rear), 1*USB3.1 Gen2 (side),3 in 1 Card Reader, 3Wx2 Speaker, HDMI Out, LAN,WiFi (802.11 AC), Bluetooth 4.0, USB WIRED Keyboard Mouse,M.2 PCIE SSD Gen3X4 Slot, Microsoft Office Home and Student 2019, Win10, 21.5" LED Borderless(1920x1080p Resolutions), 1 Year On Site Warranty.;3;5;Beeessssttt.. Pokoknya.. Respon admin besstt.. Terimakasih;s*****l
5;Laptop HP Pav Gaming Laptop 15-dk1041TX NVIDIA GeForce GTX 1650 4GB HDD Harddisk 1TB No Optical Drive (Free Mouse);Komputer;HP Official Shop;laptop hp;HP Official Shop adalah akun resmi HP Indonesia di Platform Shopee dan merupakan bagian dari program Service By Shopee. Visi kami untuk menciptakan teknologi yang membuat hidup yang lebih baik bagi siapapun di seluruh dunia. Operational Hours:24 Hours. ;14256000;Kota Jakarta Utara;Processor i7-10750H,RAM 8GB,HDD 1TB,SSD 256GB, VGA NVIDIA GeForce GTX 1650 4GB,Ukuran Layar 15.6 Inch FHD,Sistem Operasi: Windows 10 Home + Office Home Student 2019, dan 2 Years Local Official Distributor Warranty.;9;5;Kereen..........;nieseftiani
6;Logitech M100r USB Optical Wired Mouse;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;69000;Kota Jakarta Pusat;USB,dan 1 Year Local Official Distributor Warranty;4100;5;Berfungsi dengan bagus di windows 10 Dan windows 8,barang original, semoga awet, Dan untuk jasa pengiriman ya bagus express,murah tapi bukan murahan;h*****3
7;Logitech M105 Wired Optical Mouse;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;84000;Kota Jakarta Pusat;Wired Optical Mouse,USB,Tracking technology: Optical,Sensor Resolution: 1000,dan 1 Year Local Official Distributor Warranty;2600;5;Barang original. Kualitas bagus tentunya. Pengemasan aman, ditambah dengan bubble wrap.;fiyasmeita
8;Logitech B175 Wireless Mouse;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;98000;Kota Jakarta Pusat;Wireless Mouse,2.4 GHz (Unifying),USB Receiver,dan 1 Year Local Official Distributor Warranty;30000;5;Mouse nyaman di tangan tp terasa kecil. Ringan n clicky tapi solid. Ada baterai bawaan, IR mouse nya ada warna keunguan tp redup sekali (pertanda original). Scroll nyaman, click aman, kardus agak peyok wajar. Harga termurah utk wireless di offic.store. Recomended. Oke punya. Semoga awet. (y);januariqbaal_ef
9;Logitech M170 Wireless Mouse;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;100000;Kota Jakarta Pusat;Logitech Wireless Mouse M170 menghadirkan desain Ambidextrous yang memungkinkan Mouse tetap nyaman digunakan baik dengan tangan kanan atau kiri. Desain Grip berpola pada pinggir Mouse dan tombol Scroll membuat genggaman tangan Anda terasa mantap dan tidak licin. Cara menggunakan Mouse pun sangat mudah, karena bekerja secara nirkabel Anda cukup colokan USB Nano Receiver pada Port USB Notebook atau Desktop lalu nyalakan Mouse. Logitech M170 bisa langsung digunakan tanpa instalasi tambahan. Namun jika Anda ingin mengkustomisasi tombol Mouse bisa dengan bantuan aplikasi Logitech Options.;15000;5;Produk original, harga produk baik, kualitas produk baik, pengemasan produk baik;ichafazh
10;Logitech H110 Stereo Headset;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;105000;Kota Jakarta Pusat;Headset dengan 20 - 20000Hz,Noise canceling microphone,2 x Jack 3.5 mm, -58 dBV /-38 dBV/Pa +/- 4 dB,dan 1 Year Local Official Distributor Warranty;741;5;Kualitas produk baik, produk original, suara yang dikeluarkan baikkk. Overall good, cm rada licin aja dipakenya nunduk dikit jatoh :(;g*****2
